epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants,vaccinated_third,vaccinated_third_per_100_inhabitants
113,2021-04-01,Brazil,PE,TOTAL,74,12249,2987,352218,12249,352218,12.816.688,368.541.784,3.478,298206,7489,1390131,1.454.557.573,864211,904.263,240794,251.954,,,,
113,2021-04-02,Brazil,PE,TOTAL,46,12295,1779,353997,12295,353997,12.864.820,370.403.233,3.473,298206,7489,1390131,1.454.557.573,883435,924.378,245875,257.270,,,,
113,2021-04-03,Brazil,PE,TOTAL,54,12349,985,354982,12349,354982,12.921.323,371.433.884,3.479,298206,5720,1390131,1.454.557.573,892645,934.015,246792,258.230,,,,
114,2021-04-04,Brazil,PE,TOTAL,28,12377,635,355617,12377,355617,12.950.621,372.098.313,3.480,298206,5720,1390131,1.454.557.573,893348,934.751,246844,258.284,,,,
114,2021-04-05,Brazil,PE,TOTAL,44,12421,709,356326,12421,356326,12.996.660,372.840.172,3.486,298206,5720,1390131,1.454.557.573,910871,953.086,259610,271.642,,,,
114,2021-04-06,Brazil,PE,TOTAL,58,12479,2179,358505,12479,358505,13.057.348,375.120.160,3.481,303491,5720,1390131,1.454.557.573,943558,987.288,267679,280.085,,,,
114,2021-04-07,Brazil,PE,TOTAL,62,12541,2965,361470,12541,361470,13.122.221,378.222.575,3.469,303491,5720,1470815,1.538.980.928,977207,1.022.496,277355,290.209,,,,
114,2021-04-08,Brazil,PE,TOTAL,82,12623,2884,364354,12623,364354,13.208.022,381.240.236,3.464,307902,5046,1493167,1.562.368.847,991876,1.037.845,282378,295.465,,,,
114,2021-04-09,Brazil,PE,TOTAL,63,12686,1992,366346,12686,366346,13.273.941,383.324.556,3.463,307902,5046,1493167,1.562.368.847,1029180,1.076.878,297896,311.702,,,,
114,2021-04-10,Brazil,PE,TOTAL,58,12744,2354,368700,12744,368700,13.334.629,385.787.654,3.456,307902,5046,1493167,1.562.368.847,1038111,1.086.223,305495,319.653,,,,
115,2021-04-11,Brazil,PE,TOTAL,59,12803,787,369487,12803,369487,13.396.364,386.611.128,3.465,312018,5046,1493167,1.562.368.847,1070518,1.120.132,315179,329.786,,,,
115,2021-04-12,Brazil,PE,TOTAL,34,12837,738,370225,12837,370225,13.431.940,387.383.331,3.467,312018,5046,1493167,1.562.368.847,1086058,1.136.392,322955,337.923,,,,
115,2021-04-13,Brazil,PE,TOTAL,68,12905,2531,372756,12905,372756,13.503.091,390.031.632,3.462,315417,5046,1493167,1.562.368.847,1104112,1.155.283,331119,346.465,,,,
115,2021-04-14,Brazil,PE,TOTAL,83,12988,2359,375115,12988,375115,13.589.938,392.499.962,3.462,315417,8487,1493167,1.562.368.847,1129171,1.181.503,355911,372.406,,,,
115,2021-04-15,Brazil,PE,TOTAL,63,13051,1868,376983,13051,376983,13.655.858,394.454.535,3.462,319407,8487,1493167,1.562.368.847,1144274,1.197.306,375273,392.665,,,,
115,2021-04-16,Brazil,PE,TOTAL,51,13102,1869,378852,13102,378852,13.709.221,396.410.155,3.458,319407,8487,1493167,1.562.368.847,1156508,1.210.107,396025,414.379,,,,
115,2021-04-17,Brazil,PE,TOTAL,77,13179,1966,380818,13179,380818,13.789.790,398.467.271,3.461,319407,8487,1493167,1.562.368.847,1161868,1.215.716,404674,423.429,,,,
116,2021-04-18,Brazil,PE,TOTAL,33,13212,1346,382164,13212,382164,13.824.319,399.875.652,3.457,324576,8487,1493167,1.562.368.847,1165159,1.219.159,410094,429.100,,,,
116,2021-04-19,Brazil,PE,TOTAL,36,13248,1020,383184,13248,383184,13.861.988,400.942.925,3.457,324576,8487,1493167,1.562.368.847,1179157,1.233.806,425092,444.793,,,,
116,2021-04-20,Brazil,PE,TOTAL,69,13317,2843,386027,13317,386027,13.934.185,403.917.686,3.450,324576,8487,1493167,1.562.368.847,1208621,1.264.635,451973,472.920,,,,
116,2021-04-21,Brazil,PE,TOTAL,63,13380,2480,388507,13380,388507,14.000.105,406.512.623,3.444,324576,8487,1493167,1.562.368.847,1221859,1.278.487,469830,491.605,,,,
116,2021-04-22,Brazil,PE,TOTAL,45,13425,1202,389709,13425,389709,14.047.191,407.770.330,3.445,330763,8487,1493167,1.562.368.847,1239014,1.296.437,489701,512.397,,,,
116,2021-04-23,Brazil,PE,TOTAL,99,13524,2031,391740,13524,391740,14.150.779,409.895.459,3.452,330763,8487,1493167,1.562.368.847,1266573,1.325.273,516526,540.465,,,,
116,2021-04-24,Brazil,PE,TOTAL,46,13570,2089,393829,13570,393829,14.198.911,412.081.275,3.446,330763,8487,1493167,1.562.368.847,1271168,1.330.081,525352,549.700,,,,
117,2021-04-25,Brazil,PE,TOTAL,70,13640,1734,395563,13640,395563,14.272.155,413.895.638,3.448,330763,8487,1493167,1.562.368.847,1278381,1.337.628,534743,559.526,,,,
117,2021-04-26,Brazil,PE,TOTAL,47,13687,1278,396841,13687,396841,14.321.333,415.232.868,3.449,330763,8487,1493167,1.562.368.847,1297212,1.357.332,570772,597.225,,,,
117,2021-04-27,Brazil,PE,TOTAL,75,13762,2596,399437,13762,399437,14.399.809,417.949.181,3.445,335815,8487,1493167,1.562.368.847,1313396,1.374.266,594578,622.134,,,,
117,2021-04-28,Brazil,PE,TOTAL,106,13868,2720,402157,13868,402157,14.510.722,420.795.242,3.448,335815,8487,1493167,1.562.368.847,1337078,1.399.046,622925,651.795,,,,
117,2021-04-29,Brazil,PE,TOTAL,99,13967,2511,404668,13967,404668,14.614.310,423.422.616,3.451,343063,8487,1493167,1.562.368.847,1352508,1.415.191,643568,673.395,,,,
117,2021-04-30,Brazil,PE,TOTAL,71,14038,1917,406585,14038,406585,14.688.601,425.428.460,3.453,345538,8487,1493167,1.562.368.847,1364884,1.428.140,657713,688.195,,,,
117,2021-05-01,Brazil,PE,TOTAL,90,14128,2178,408763,14128,408763,14.782.772,427.707.401,3.456,345538,18332,1493167,1.562.368.847,1372295,1.435.895,665472,696.314,,,,
118,2021-05-02,Brazil,PE,TOTAL,52,14180,730,409493,14180,409493,14.837.182,428.471.233,3.463,345538,18332,1653494,1.730.126.312,1374288,1.437.980,666439,697.326,,,,
118,2021-05-03,Brazil,PE,TOTAL,26,14206,960,410453,14206,410453,14.864.387,429.475.725,3.461,348230,18332,1653494,1.730.126.312,1385324,1.449.528,675171,706.462,,,,
118,2021-05-04,Brazil,PE,TOTAL,73,14279,2333,412786,14279,412786,14.940.770,431.916.850,3.459,348230,18332,1653494,1.730.126.312,1399072,1.463.913,694861,727.065,,,,
118,2021-05-05,Brazil,PE,TOTAL,54,14333,2143,414929,14333,414929,14.997.273,434.159.169,3.454,348230,18332,1653494,1.730.126.312,1424532,1.490.553,709781,742.676,,,,
118,2021-05-06,Brazil,PE,TOTAL,52,14385,3074,418003,14385,418003,15.051.683,437.375.635,3.441,348230,18332,1653494,1.730.126.312,1437847,1.504.485,716972,750.201,,,,
118,2021-05-07,Brazil,PE,TOTAL,49,14434,2763,420766,14434,420766,15.102.954,440.266.688,3.430,357854,18332,1697467,1.776.137.271,1457013,1.524.539,724444,758.019,,,,
118,2021-05-08,Brazil,PE,TOTAL,57,14491,2923,423689,14491,423689,15.162.595,443.325.157,3.420,357854,18332,1697467,1.776.137.271,1467963,1.535.997,727581,761.301,,,,
119,2021-05-09,Brazil,PE,TOTAL,27,14518,893,424582,14518,424582,15.190.847,444.259.544,3.419,357854,18332,1697467,1.776.137.271,1474984,1.543.343,729936,763.765,,,,
119,2021-05-10,Brazil,PE,TOTAL,32,14550,1828,426410,14550,426410,15.224.330,446.172.263,3.412,357854,18332,1697467,1.776.137.271,1488141,1.557.110,733002,766.973,,,,
119,2021-05-11,Brazil,PE,TOTAL,89,14639,2777,429187,14639,429187,15.317.454,449.077.965,3.411,366511,18332,1697467,1.776.137.271,1501806,1.571.408,756848,791.925,,,,
119,2021-05-12,Brazil,PE,TOTAL,80,14719,2426,431613,14719,431613,15.401.162,451.616.400,3.410,366511,18332,1697467,1.776.137.271,1525967,1.596.689,774333,810.220,,,,
119,2021-05-13,Brazil,PE,TOTAL,79,14798,3195,434808,14798,434808,15.483.823,454.959.475,3.403,366511,18332,1697467,1.776.137.271,1539156,1.610.489,784869,821.244,,,,
119,2021-05-14,Brazil,PE,TOTAL,43,14841,2975,437783,14841,437783,15.528.816,458.072.353,3.390,366511,18332,1697467,1.776.137.271,1550139,1.621.981,789207,825.783,,,,
119,2021-05-15,Brazil,PE,TOTAL,65,14906,2894,440677,14906,440677,15.596.829,461.100.477,3.383,366511,13822,1697467,1.776.137.271,1554621,1.626.671,792664,829.401,,,,
120,2021-05-16,Brazil,PE,TOTAL,43,14949,1686,442363,14949,442363,15.641.822,462.864.616,3.379,366511,13822,1697467,1.776.137.271,1561620,1.633.994,798682,835.697,,,,
120,2021-05-17,Brazil,PE,TOTAL,31,14980,701,443064,14980,443064,15.674.258,463.598.104,3.381,376031,13822,1697467,1.776.137.271,1575399,1.648.412,804108,841.375,,,,
120,2021-05-18,Brazil,PE,TOTAL,68,15048,3029,446093,15048,446093,15.745.410,466.767.486,3.373,376031,13822,1767867,1.849.800.007,1589775,1.663.454,817304,855.183,,,,
120,2021-05-19,Brazil,PE,TOTAL,79,15127,3440,449533,15127,449533,15.828.071,470.366.915,3.365,381891,13822,1767867,1.849.800.007,1607529,1.682.031,828877,867.292,,,,
120,2021-05-20,Brazil,PE,TOTAL,65,15192,3188,452721,15192,452721,15.896.084,473.702.665,3.356,381891,13822,1767867,1.849.800.007,1622982,1.698.200,836497,875.265,,,,
120,2021-05-21,Brazil,PE,TOTAL,66,15258,3969,456690,15258,456690,15.965.142,477.855.611,3.341,381891,13822,1767867,1.849.800.007,1654392,1.731.066,858297,898.075,,,,
120,2021-05-22,Brazil,PE,TOTAL,67,15325,3589,460279,15325,460279,16.035.248,481.610.945,3.330,381891,13822,1767867,1.849.800.007,1659397,1.736.303,862049,902.001,,,,
121,2021-05-23,Brazil,PE,TOTAL,40,15365,2089,462368,15365,462368,16.077.101,483.796.762,3.323,381891,13822,1767867,1.849.800.007,1670944,1.748.385,865625,905.743,,,,
121,2021-05-24,Brazil,PE,TOTAL,28,15393,1368,463736,15393,463736,16.106.399,485.228.162,3.319,381891,13822,1767867,1.849.800.007,1688227,1.766.469,874824,915.368,,,,
121,2021-05-25,Brazil,PE,TOTAL,72,15465,3533,467269,15465,467269,16.181.736,488.924.902,3.310,381891,13822,1767867,1.849.800.007,1702710,1.781.623,881318,922.163,,,,
121,2021-05-26,Brazil,PE,TOTAL,59,15524,2794,470063,15524,470063,16.243.470,491.848.392,3.303,381891,13822,1767867,1.849.800.007,1721929,1.801.733,892668,934.039,,,,
121,2021-05-27,Brazil,PE,TOTAL,71,15595,2527,472590,15595,472590,16.317.761,494.492.507,3.300,394630,13822,1767867,1.849.800.007,1751942,1.833.137,904282,946.192,,,,
121,2021-05-28,Brazil,PE,TOTAL,62,15657,736,473326,15657,473326,16.382.634,495.262.618,3.308,394630,13822,1767867,1.849.800.007,1767945,1.849.882,911592,953.840,,,,
121,2021-05-29,Brazil,PE,TOTAL,85,15742,5576,478902,15742,478902,16.471.574,501.097.041,3.287,394630,13822,1767867,1.849.800.007,1803382,1.886.961,915597,958.031,,,,
122,2021-05-30,Brazil,PE,TOTAL,65,15807,2168,481070,15807,481070,16.539.586,503.365.519,3.286,394630,13822,1767867,1.849.800.007,1808484,1.892.299,924311,967.149,,,,
122,2021-05-31,Brazil,PE,TOTAL,55,15862,1087,482157,15862,482157,16.597.135,504.502.896,3.290,394630,16592,1767867,1.849.800.007,1827580,1.912.280,928086,971.099,,,,
122,2021-06-01,Brazil,PE,TOTAL,78,15940,3437,485594,15940,485594,16.678.750,508.099.186,3.283,402711,16592,1767867,1.849.800.007,1849480,1.935.195,931058,974.209,,,,
122,2021-06-02,Brazil,PE,TOTAL,73,16013,3551,489145,16013,489145,16.755.133,511.814.760,3.274,402711,16592,1767867,1.849.800.007,1879105,1.966.193,935359,978.709,,,,
122,2021-06-03,Brazil,PE,TOTAL,84,16097,3649,492794,16097,492794,16.843.026,515.632.875,3.266,402711,16592,1767867,1.849.800.007,1925294,2.014.523,937272,980.711,,,,
122,2021-06-04,Brazil,PE,TOTAL,52,16149,644,493438,16149,493438,16.897.436,516.306.722,3.273,402711,16592,1767867,1.849.800.007,1957687,2.048.417,941047,984.660,,,,
122,2021-06-05,Brazil,PE,TOTAL,94,16243,4468,497906,16243,497906,16.995.793,520.981.795,3.262,413346,16592,1767867,1.849.800.007,1991918,2.084.235,945060,988.859,,,,
123,2021-06-06,Brazil,PE,TOTAL,49,16292,1666,499572,16292,499572,17.047.064,522.725.006,3.261,414367,16592,1767867,1.849.800.007,2012193,2.105.449,945710,989.540,,,,
123,2021-06-07,Brazil,PE,TOTAL,65,16357,1249,500821,16357,500821,17.115.076,524.031.892,3.266,414367,16592,1767867,1.849.800.007,2039969,2.134.513,951748,995.857,,,,
123,2021-06-08,Brazil,PE,TOTAL,111,16468,1876,502697,16468,502697,17.231.221,525.994.837,3.276,414367,16592,1767867,1.849.800.007,2135181,2.234.137,964679,1.009.388,,,,
123,2021-06-09,Brazil,PE,TOTAL,81,16549,6487,509184,16549,509184,17.315.975,532.782.481,3.250,416397,16592,1767867,1.849.800.007,2197717,2.299.572,972201,1.017.258,,,,
123,2021-06-10,Brazil,PE,TOTAL,65,16614,2645,511829,16614,511829,17.383.987,535.550.065,3.246,416397,16592,1767867,1.849.800.007,2263860,2.368.780,980527,1.025.970,,,,
123,2021-06-11,Brazil,PE,TOTAL,87,16701,3715,515544,16701,515544,17.475.019,539.437.240,3.239,416397,16592,1767867,1.849.800.007,2322617,2.430.260,994098,1.040.170,,,,
123,2021-06-12,Brazil,PE,TOTAL,79,16780,2877,518421,16780,518421,17.557.681,542.447.576,3.237,416397,16592,1767867,1.849.800.007,2371755,2.481.676,995998,1.042.158,,,,
124,2021-06-13,Brazil,PE,TOTAL,48,16828,1156,519577,16828,519577,17.607.905,543.657.152,3.239,432119,16592,1954471,2.045.052.297,2371755,2.481.676,995998,1.042.158,,,,
124,2021-06-14,Brazil,PE,TOTAL,32,16860,1117,520694,16860,520694,17.641.388,544.825.920,3.238,432119,16592,1954471,2.045.052.297,2450776,2.564.359,1001355,1.047.763,,,,
124,2021-06-15,Brazil,PE,TOTAL,72,16932,3622,524316,16932,524316,17.716.725,548.615.784,3.229,432119,16592,1954471,2.045.052.297,2552707,2.671.014,1006570,1.053.220,,,,
124,2021-06-16,Brazil,PE,TOTAL,58,16990,2647,526963,16990,526963,17.777.413,551.385.461,3.224,438357,16592,1954471,2.045.052.297,2612701,2.733.788,1011614,1.058.498,,,,
124,2021-06-17,Brazil,PE,TOTAL,79,17069,3114,530077,17069,530077,17.860.074,554.643.782,3.220,438357,11352,1974131,2.065.623.453,2676182,2.800.211,1018522,1.065.726,,,,
124,2021-06-18,Brazil,PE,TOTAL,70,17139,3118,533195,17139,533195,17.933.319,557.906.287,3.214,438357,11352,1974131,2.065.623.453,2731842,2.858.451,1022596,1.069.989,,,,
124,2021-06-19,Brazil,PE,TOTAL,77,17216,2512,535707,17216,535707,18.013.887,560.534.708,3.214,449231,11352,1974131,2.065.623.453,2760480,2.888.416,1024117,1.071.580,,,,
125,2021-06-20,Brazil,PE,TOTAL,38,17254,964,536671,17254,536671,18.053.648,561.543.385,3.215,449231,11352,1974131,2.065.623.453,2788126,2.917.344,1025349,1.072.870,,,,
125,2021-06-21,Brazil,PE,TOTAL,27,17281,805,537476,17281,537476,18.081.900,562.385.693,3.215,449231,11352,1974131,2.065.623.453,2810821,2.941.090,1038870,1.087.017,,,,
125,2021-06-22,Brazil,PE,TOTAL,62,17343,2339,539815,17343,539815,18.146.773,564.833.096,3.213,454676,11352,1974131,2.065.623.453,2854799,2.987.107,1044342,1.092.743,,,,
125,2021-06-23,Brazil,PE,TOTAL,64,17407,2358,542173,17407,542173,18.213.739,567.300.379,3.211,454676,11352,1974131,2.065.623.453,2916269,3.051.425,1053806,1.102.645,,,,
125,2021-06-24,Brazil,PE,TOTAL,56,17463,1391,543564,17463,543564,18.272.335,568.755.846,3.213,454676,11352,1974131,2.065.623.453,2947640,3.084.250,1056024,1.104.966,,,,
125,2021-06-25,Brazil,PE,TOTAL,24,17487,716,544280,17487,544280,18.297.447,569.505.029,3.213,454676,11352,1974131,2.065.623.453,2955158,3.092.117,1058157,1.107.198,,,,
125,2021-06-26,Brazil,PE,TOTAL,39,17526,1410,545690,17526,545690,18.338.254,570.980.377,3.212,454676,11352,1974131,2.065.623.453,2986015,3.124.404,1059535,1.108.640,,,,
126,2021-06-27,Brazil,PE,TOTAL,25,17551,847,546537,17551,546537,18.364.413,571.866.632,3.211,454676,11352,1974131,2.065.623.453,2997227,3.136.136,1060136,1.109.269,3332,3.486,,
126,2021-06-28,Brazil,PE,TOTAL,28,17579,599,547136,17579,547136,18.393.711,572.493.393,3.213,454676,11352,1974131,2.065.623.453,3021413,3.161.442,1061914,1.111.129,5905,6.179,,
126,2021-06-29,Brazil,PE,TOTAL,61,17640,2181,549317,17640,549317,18.457.538,574.775.473,3.211,454676,11352,1974131,2.065.623.453,3044157,3.185.241,1067602,1.117.081,28190,29.496,,
126,2021-06-30,Brazil,PE,TOTAL,45,17685,975,550292,17685,550292,18.504.623,575.795.660,3.214,454676,11352,1974131,2.065.623.453,3071018,3.213.346,1072768,1.122.486,46082,48.218,,
126,2021-07-01,Brazil,PE,TOTAL,35,17720,1997,552289,17720,552289,18.541.246,577.885.212,3.208,467422,11352,2056126,2.151.418.567,3099056,3.242.684,1078714,1.128.708,51553,53.942,,
126,2021-07-02,Brazil,PE,TOTAL,46,17766,2399,554688,17766,554688,18.589.377,580.395.395,3.203,467422,11352,2056126,2.151.418.567,3153659,3.299.817,1084278,1.134.530,52434,54.864,,
126,2021-07-03,Brazil,PE,TOTAL,75,17841,2605,557293,17841,557293,18.667.853,583.121.126,3.201,467422,11352,2056126,2.151.418.567,3180436,3.327.835,1085612,1.135.925,57482,60.146,,
127,2021-07-04,Brazil,PE,TOTAL,31,17872,1405,558698,17872,558698,18.700.290,584.591.241,3.199,475280,11352,2056126,2.151.418.567,3225358,3.374.839,1087413,1.137.810,61179,64.014,,
127,2021-07-05,Brazil,PE,TOTAL,36,17908,660,559358,17908,559358,18.737.959,585.281.830,3.202,475280,11352,2056126,2.151.418.567,3245196,3.395.597,1091572,1.142.162,61674,64.532,,
127,2021-07-06,Brazil,PE,TOTAL,45,17953,2147,561505,17953,561505,18.785.044,587.528.334,3.197,475280,2263,2056126,2.151.418.567,3260510,3.411.621,1097846,1.148.726,70579,73.850,,
127,2021-07-07,Brazil,PE,TOTAL,26,17979,1759,563264,17979,563264,18.812.249,589.368.856,3.192,475280,2263,2056126,2.151.418.567,3302248,3.455.293,1102599,1.153.700,87657,91.720,,
127,2021-07-08,Brazil,PE,TOTAL,44,18023,1525,564789,18023,564789,18.858.288,590.964.533,3.191,475280,2263,2056126,2.151.418.567,3366734,3.522.768,1109573,1.160.997,107963,112.967,,
127,2021-07-09,Brazil,PE,TOTAL,45,18068,2190,566979,18068,566979,18.905.374,593.256.030,3.187,475280,2263,2056126,2.151.418.567,3423872,3.582.554,1118232,1.170.057,127994,133.926,,
127,2021-07-10,Brazil,PE,TOTAL,32,18100,1961,568940,18100,568940,18.938.857,595.307.914,3.181,488843,2263,2056126,2.151.418.567,3559632,3.724.606,1126777,1.178.998,143857,150.524,,
128,2021-07-11,Brazil,PE,TOTAL,10,18110,923,569863,18110,569863,18.949.320,596.273.691,3.178,489824,2263,2056126,2.151.418.567,3574642,3.740.311,1132223,1.184.697,147384,154.215,,
128,2021-07-12,Brazil,PE,TOTAL,21,18131,383,570246,18131,570246,18.971.294,596.674.441,3.180,489824,2263,2056126,2.151.418.567,3626598,3.794.675,1143979,1.196.997,149990,156.941,,
128,2021-07-13,Brazil,PE,TOTAL,35,18166,2290,572536,18166,572536,19.007.916,599.070.573,3.173,489824,2263,2056126,2.151.418.567,3665187,3.835.053,1162184,1.216.046,150338,157.306,,
128,2021-07-14,Brazil,PE,TOTAL,40,18206,2145,574681,18206,574681,19.049.770,601.314.984,3.168,489824,2263,2056126,2.151.418.567,3701335,3.872.876,1179606,1.234.276,153375,160.483,,
128,2021-07-15,Brazil,PE,TOTAL,29,18235,1184,575865,18235,575865,19.080.114,602.553.858,3.167,489824,2263,2056126,2.151.418.567,3735858,3.908.999,1199681,1.255.281,155786,163.006,,
128,2021-07-16,Brazil,PE,TOTAL,59,18294,1250,577115,18294,577115,19.141.848,603.861.790,3.170,497027,2263,2056126,2.151.418.567,3767873,3.942.498,1218318,1.274.782,158331,165.669,,
128,2021-07-17,Brazil,PE,TOTAL,10,18304,1333,578448,18304,578448,19.152.311,605.256.569,3.164,497027,2263,2056126,2.151.418.567,3784562,3.959.960,1230150,1.287.162,159200,166.578,,
129,2021-07-18,Brazil,PE,TOTAL,21,18325,638,579086,18325,579086,19.174.285,605.924.137,3.164,497027,2263,2056126,2.151.418.567,3794308,3.970.158,1233336,1.290.496,159328,166.712,,
129,2021-07-19,Brazil,PE,TOTAL,17,18342,339,579425,18342,579425,19.192.073,606.278.848,3.166,500584,2263,2056126,2.151.418.567,3826537,4.003.880,1258607,1.316.938,159997,167.412,,
129,2021-07-20,Brazil,PE,TOTAL,46,18388,354,579779,18388,579779,19.240.204,606.649.255,3.172,500584,2263,2056126,2.151.418.567,3855713,4.034.409,1275404,1.334.513,160309,167.739,,
